internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
44392606,Ehrharta stipoides,Microlaena stipoides (Labill.) R.Br.,Microlaena,stipoides,(Labill.) R.Br.,,
22486227,Caladenia dimorpha,Stegostyla dimorpha (Fitzg.) D.L.Jones & M.A.Clem.,Stegostyla,dimorpha,(Fitzg.) D.L.Jones & M.A.Clem.,,
22486227,Caladenia dimorpha,Caladenia  praecox Nicholls,Caladenia ,praecox,Nicholls,,
22486227,Caladenia dimorpha,Caladenia  testacea R.Br. var. praecox  (Nicholls) Nicholls,Caladenia ,testacea,R.Br.,variety, (Nicholls) Nicholls
22486227,Caladenia dimorpha,Stegostyla praecox (Nicholls) D.L.Jones & M.A.Clem.,Stegostyla,praecox,(Nicholls) D.L.Jones & M.A.Clem.,,
22486227,Caladenia dimorpha,Stegostyla ustulata D.L.Jones,Stegostyla,ustulata,D.L.Jones,,
22486227,Caladenia dimorpha,Caladenia ustulata (D.L.Jones) G.N.Backh.,Caladenia,ustulata,(D.L.Jones) G.N.Backh.,,
22486227,Caladenia dimorpha,Stegostyla  ustulata D.L.Jones,Stegostyla ,ustulata,D.L.Jones,,
44392957,Linospadix palmerianus,Bacularia palmeriana F.M.Bailey,Bacularia,palmeriana,F.M.Bailey,,
15053780,Dendrobium aphyllum,Dendrobium gamblei King & Pantl.,Dendrobium,gamblei,King & Pantl.,,
15053780,Dendrobium aphyllum,Callista aphylla (Roxb.) Kuntze,Callista,aphylla,(Roxb.) Kuntze,,
15053780,Dendrobium aphyllum,Callista macrostachya (Lindl.) Kuntze,Callista,macrostachya,(Lindl.) Kuntze,,
15053780,Dendrobium aphyllum,Callista stuartii (F.M.Bailey) Kuntze,Callista,stuartii,(F.M.Bailey) Kuntze,,
15053780,Dendrobium aphyllum,Callista tetrodon (Rchb.f. ex Lindl.) Kuntze,Callista,tetrodon,(Rchb.f. ex Lindl.) Kuntze,,
15053780,Dendrobium aphyllum,Cymbidium aphyllum (Roxb.) Sw.,Cymbidium,aphyllum,(Roxb.) Sw.,,
15053780,Dendrobium aphyllum,Dendrobium macrostachyum Lindl.,Dendrobium,macrostachyum,Lindl.,,
15053780,Dendrobium aphyllum,Dendrobium stuartii F.M.Bailey,Dendrobium,stuartii,F.M.Bailey,,
15053780,Dendrobium aphyllum,Dendrobium tetrodon Rchb.f. ex Lindl.,Dendrobium,tetrodon,Rchb.f. ex Lindl.,,
15053780,Dendrobium aphyllum,Dendrobium viridicatum Ridl.,Dendrobium,viridicatum,Ridl.,,
15053780,Dendrobium aphyllum,Dendrobium whiteanum T.E.Hunt,Dendrobium,whiteanum,T.E.Hunt,,
15053780,Dendrobium aphyllum,Epidendrum aphyllum (Roxb.) Poir.,Epidendrum,aphyllum,(Roxb.) Poir.,,
15053780,Dendrobium aphyllum,Limodorum aphyllum Roxb.,Limodorum,aphyllum,Roxb.,,
44393230,Rytidosperma richardsonii,Austrodanthonia richardsonii (Cashmore) H.P.Linder,Austrodanthonia,richardsonii,(Cashmore) H.P.Linder,,
44393184,Caladenia brownii,Arachnorchis brownii (Hopper) D.L.Jones & M.A.Clem.,Arachnorchis,brownii,(Hopper) D.L.Jones & M.A.Clem.,,
44393184,Caladenia brownii,Calonemorchis brownii (Hopper) Szlach. & Rutk,Calonemorchis,brownii,(Hopper) Szlach. & Rutk,,
44392953,Caladenia mesocera,Drakonorchis mesocera (Hopper & A.P.Br.) D.L.Jones & M.A.Clem.,Drakonorchis,mesocera,(Hopper & A.P.Br.) D.L.Jones & M.A.Clem.,,
44392554,Thelymitra cyanea,Macdonaldia cyanea Lind.,Macdonaldia,cyanea,Lind.,,
44393289,Eragrostis pubescens,Poa pubescens R.Br.,Poa,pubescens,R.Br.,,
44393163,Pterostylis hispidula,Pterostylis nutans var. hispidula (Fitzg.) C.Moore & Betche,Pterostylis,nutans,,variety,(Fitzg.) C.Moore & Betche
44393711,Pinalia fitzalanii,Hymeneria fitzalanii (F.Muell.) M.A.Clem. & D.L.Jones,Hymeneria,fitzalanii,(F.Muell.) M.A.Clem. & D.L.Jones,,
44393687,Stipa dongicola,"Austrostipa dongicola (Vickery, S.W.L.Jacobs & J.Everett) S.W.L.Jacobs & J.Everett",Austrostipa,dongicola,"(Vickery, S.W.L.Jacobs & J.Everett) S.W.L.Jacobs & J.Everett",,
44392484,Commelina africana,Dirtea africana (L.) Raf.,Dirtea,africana,(L.) Raf.,,
44392484,Commelina africana,Stickmannia africana (L.) Raf.,Stickmannia,africana,(L.) Raf.,,
44393218,Centrolepis glabra,Devauxia glabra F.Muell.,Devauxia,glabra,F.Muell.,,
44392642,Cyathochaeta diandra,Rhynchospora diandra (R.Br.) Spreng.,Rhynchospora,diandra,(R.Br.) Spreng.,,
44393056,Schoenus deformis,Chaetospora deformis R.Br.,Chaetospora,deformis,R.Br.,,
44392847,Tacca leontopetaloides,Leontice leontopetaloides L.,Leontice,leontopetaloides,L.,,
44393480,Caladenia splendens,Arachnorchis splendens (Hopper & A.P.Br.) D.L.Jones & M.A.Clem.,Arachnorchis,splendens,(Hopper & A.P.Br.) D.L.Jones & M.A.Clem.,,
44393592,Pterostylis squamata,Oligochaetochilus squamatus (R.Br.) Szlach,Oligochaetochilus,squamatus,(R.Br.) Szlach,,
44393512,Bulbophyllum minutissimum,Oncophyllum minutissimum (F.Muell.) D.L.Jones & M.A.Clem.,Oncophyllum,minutissimum,(F.Muell.) D.L.Jones & M.A.Clem.,,
44392379,Caladenia catenata,Petalochilus catenatus (Sm.) D.L.Jones & M.A.Clem.,Petalochilus,catenatus,(Sm.) D.L.Jones & M.A.Clem.,,
44392379,Caladenia catenata,Arethusa catenata Sm.,Arethusa,catenata,Sm.,,
44393313,Liparis swenssonii,Stichorkis swenssonii (F.M.Bailey) Marg.,Stichorkis,swenssonii,(F.M.Bailey) Marg.,,
44393291,Bulbophyllum radicans,Fruticicola radicans (F.M.Bailey) M.A.Clem. & D.L.Jones,Fruticicola,radicans,(F.M.Bailey) M.A.Clem. & D.L.Jones,,
44392825,Caladenia cracens,Stegostyla cracens (D.L.Jones) D.L.Jones & M.A.Clem.,Stegostyla,cracens,(D.L.Jones) D.L.Jones & M.A.Clem.,,
44392723,Dendrobium litorale,Aporopsis litoralis (Schltr.) M.A.Clem. & D.L.Jones,Aporopsis,litoralis,(Schltr.) M.A.Clem. & D.L.Jones,,
44392532,Sorghum angustum,Sarga angusta (S.T.Blake) Spangler,Sarga,angusta,(S.T.Blake) Spangler,,
44393192,Sorghum stipoideum,Sarga stipoidea Ewart & Jean White,Sarga,stipoidea,Ewart & Jean White,,
44393192,Sorghum stipoideum,Andropogon sargus Ewart,Andropogon,sargus,Ewart,,
44393192,Sorghum stipoideum,Sorghum mjoebergii Cheel,Sorghum,mjoebergii,Cheel,,
22486367,Mnesithea annua,Heteropholis annua Lazarides,Heteropholis,annua,Lazarides,,
13507050,Asparagus aethiopicus,Protasparagus aethiopicus (L.) Oberm.,Protasparagus,aethiopicus,(L.) Oberm.,,
13507050,Asparagus aethiopicus,Asparagus sprengeri Regel,Asparagus,sprengeri,Regel,,
44392794,Nematoceras dienemum,Corysanthes dienema (D.L.Jones) Szlach,Corysanthes,dienema,(D.L.Jones) Szlach,,
44392794,Nematoceras dienemum,"Nematoceras dienemas  (D.L.Jones) D.L.Jones, M.A.Clem. & Molloy [orth. variant]",Nematoceras,dienemas ,"(D.L.Jones) D.L.Jones, M.A.Clem. & Molloy [orth. variant]",,
44392794,Nematoceras dienemum,Corybas dienemus D.L.Jones,Corybas,dienemus,D.L.Jones,,
44392979,Caladenia radiata,Calonema radiatum (Nicholls) Szlach.,Calonema,radiatum,(Nicholls) Szlach.,,
44393338,Pterostylis praetermissa,Oligochaetochilus praetermissus (M.A.Clem. & D.L.Jones) Szlach,Oligochaetochilus,praetermissus,(M.A.Clem. & D.L.Jones) Szlach,,
44393245,Bryobium eriaeoides,Dendrobium eriaeoides F.M.Bailey,Dendrobium,eriaeoides,F.M.Bailey,,
44393376,Brachiaria texana,Urochloa texana (Buckley) R.D.Webster,Urochloa,texana,(Buckley) R.D.Webster,,
44393376,Brachiaria texana,Panicum texanum Buckley,Panicum,texanum,Buckley,,
44392480,Caladenia citrina,Calonemorchis citrina (Hopper & A.P.Br.) Szlach. & Rutk.,Calonemorchis,citrina,(Hopper & A.P.Br.) Szlach. & Rutk.,,
44392876,Sarcochilus falcatus,Thrixspermum falcatum  (R.Br.) Rchb.f.,Thrixspermum,falcatum, (R.Br.) Rchb.f.,,
44392258,Eragrostis concinna,Poa concinna R.Br.,Poa,concinna,R.Br.,,
44392254,Stipa oligostachya,Austrostipa oligostachya (Hughes) S.W.L.Jacobs & J.Everett,Austrostipa,oligostachya,(Hughes) S.W.L.Jacobs & J.Everett,,
164488,Leucojum aestivum,Leucojum hernandezii Camb.,Leucojum,hernandezii,Camb.,,
164488,Leucojum aestivum,Leucojum pulchellum Salisb.,Leucojum,pulchellum,Salisb.,,
41995,Lepidozamia hopei,Macrozamia denisonii C.Moore & F.Muell var. hopei (W.Hill) J.Schust.,Macrozamia,denisonii,C.Moore & F.Muell,variety,(W.Hill) J.Schust.
41995,Lepidozamia hopei,Macrozamia hopei W.Hill,Macrozamia,hopei,W.Hill,,
41995,Lepidozamia hopei,Catakidozamia hopei W.Hill,Catakidozamia,hopei,W.Hill,,
41996,Lepidozamia peroffskyana,Macrozamia peroffskyana (Regel) Miq.,Macrozamia,peroffskyana,(Regel) Miq.,,
41999,Macrozamia diplomera,Macrozamia spiralis (Salisb.) Miq. var. diplomera (F.Muell.) A.DC.,Macrozamia,spiralis,(Salisb.) Miq.,variety,(F.Muell.) A.DC.
41999,Macrozamia diplomera,Encephalartos spiralis (Salisb.) Lehm. var. diplomera F.Muell.,Encephalartos,spiralis,(Salisb.) Lehm.,variety,F.Muell.
41999,Macrozamia diplomera,Macrozamia tridentata (Willd.) Regel fma. diplomera (F.Muell.) J.Schust.,Macrozamia,tridentata,(Willd.) Regel,forma,(F.Muell.) J.Schust.
42002,Macrozamia dyeri,Encephalartos dyeri F.Muell.,Encephalartos,dyeri,F.Muell.,,
41955,Macrozamia flexuosa,Macrozamia pauli-guilielmi W.Hill & F.Muell. ssp. flexuosa (C.Moore) L.A.S.Johnson,Macrozamia,pauli-guilielmi,W.Hill & F.Muell.,subspecies,(C.Moore) L.A.S.Johnson
42005,Macrozamia fraseri,Macrozamia oldfieldii (Miq.) A.DC.,Macrozamia,oldfieldii,(Miq.) A.DC.,,
42005,Macrozamia fraseri,Macrozamia preissii Lehm.,Macrozamia,preissii,Lehm.,,
42011,Macrozamia macdonnellii,Encephalartos macdonnellii F.Muell. ex Miq.,Encephalartos,macdonnellii,F.Muell. ex Miq.,,
42012,Macrozamia miquelii,Macrozamia mackenziei Hort. ex Mast.,Macrozamia,mackenziei,Hort. ex Mast.,,
42012,Macrozamia miquelii,Encephalartos miquelii F.Muell.,Encephalartos,miquelii,F.Muell.,,
49003607,Nepenthes rowaniae,Nepenthes rowanae F.M.Bailey [orth. error],Nepenthes,rowanae,F.M.Bailey [orth. error],,
49278407,Melaleuca quinquenervia,Metrosideros quinquenervia Cav.,Metrosideros,quinquenervia,Cav.,,
49484707,Rubus ellipticus,Rubus flavus Buch.-Ham. ex D.Don,Rubus,flavus,Buch.-Ham. ex D.Don,,
49484707,Rubus ellipticus,Rubus gowreephul Roxb.,Rubus,gowreephul,Roxb.,,
41978,Macrozamia plurinervia,Macrozamia pauli-guilielmi W.Hill & F.Muell. ssp. plurinervia L.A.S.Johnson,Macrozamia,pauli-guilielmi,W.Hill & F.Muell.,subspecies,L.A.S.Johnson
42019,Macrozamia riedlei,Cycas riedlei Fisch. ex Gaudich.,Cycas,riedlei,Fisch. ex Gaudich.,,
41957,Macrozamia spiralis,Macrozamia corallipes Hook.f.,Macrozamia,corallipes,Hook.f.,,
41957,Macrozamia spiralis,Zamia spiralis Salisb.,Zamia,spiralis,Salisb.,,
58084895,Echinochloa polystachya,Oplismenus polystachyus Kunth,Oplismenus,polystachyus,Kunth,,
60757956,Albizia procera,Mimosa procera Roxb.,Mimosa,procera,Roxb.,,
60757956,Albizia procera,Mimosa elata Roxb.,Mimosa,elata,Roxb.,,
61220198,Aphananthe philippinensis,Aphananthe rectinervia (F.Muell.) Planch.,Aphananthe,rectinervia,(F.Muell.) Planch.,,
61220198,Aphananthe philippinensis,Sponia ilicifolia Kurz,Sponia,ilicifolia,Kurz,,
61220198,Aphananthe philippinensis,Taxotrophis rectinervis F.Muell.,Taxotrophis,rectinervis,F.Muell.,,
61533369,Barringtonia acutangula,Eugenia acutangula L.,Eugenia,acutangula,L.,,
61611928,Cydonia oblonga,Cydonia communis Loisel.,Cydonia,communis,Loisel.,,
61611928,Cydonia oblonga,Cydonia cydonia (L.) Pers.,Cydonia,cydonia,(L.) Pers.,,
61611928,Cydonia oblonga,Cydonia europaea Savi,Cydonia,europaea,Savi,,
61611928,Cydonia oblonga,Cydonia lusitanica Mill.,Cydonia,lusitanica,Mill.,,
61611928,Cydonia oblonga,Cydonia maliformis Mill.,Cydonia,maliformis,Mill.,,
61611928,Cydonia oblonga,Cydonia sumboshia Buch.-Ham. ex D.Don,Cydonia,sumboshia,Buch.-Ham. ex D.Don,,
61611928,Cydonia oblonga,Pyrus cydonia L.,Pyrus,cydonia,L.,,
61611928,Cydonia oblonga,Sorbus cydonia Crantz,Sorbus,cydonia,Crantz,,
61795859,Dysoxylum fraserianum,Hartighsea fraserana A.Juss.,Hartighsea,fraserana,A.Juss.,,
61801956,Melia azedarach,Melia florida Salisb.,Melia,florida,Salisb.,,
61905636,Corymbia citriodora,Eucalyptus citriodora Hook.,Eucalyptus,citriodora,Hook.,,
61906009,Corymbia maculata,Eucalyptus maculata Hook.,Eucalyptus,maculata,Hook.,,
61909777,Eucalyptus bridgesiana,Eucalyptus saxicola J.T.Hunter,Eucalyptus,saxicola,J.T.Hunter,,
61910010,Eucalyptus coolabah,Eucalyptus gymnoteles L.A.S.Johnson & K.D.Hill,Eucalyptus,gymnoteles,L.A.S.Johnson & K.D.Hill,,
61912292,Eucalyptus eugenioides,Eucalyptus nigra R.T.Baker,Eucalyptus,nigra,R.T.Baker,,
61912809,Eucalyptus globoidea,Eucalyptus oblonga A.Cunn. ex DC. var. rugulosa Blakely,Eucalyptus,oblonga,A.Cunn. ex DC.,variety,Blakely
61914655,Eucalyptus paniculata,Eucalyptus epruinata L.A.S.Johnson & K.D.Hill,Eucalyptus,epruinata,L.A.S.Johnson & K.D.Hill,,
61914768,Corymbia papuana,Eucalyptus  papuana  F.Muell.,Eucalyptus ,papuana ,F.Muell.,,
61917684,Syzygium suborbiculare,Eugenia suborbicularis Benth.,Eugenia,suborbicularis,Benth.,,
61917935,Nothofagus cunninghamii,Lophozonia cunninghamii (Hook.) Heenan & Smissen,Lophozonia,cunninghamii,(Hook.) Heenan & Smissen,,
61917935,Nothofagus cunninghamii,Fagus cunninghamii Hook.,Fagus,cunninghamii,Hook.,,
61958968,Zanthoxylum rhetsa,Fagara budrunga Roxb.,Fagara,budrunga,Roxb.,,
61958968,Zanthoxylum rhetsa,Fagara rhetsa Roxb.,Fagara,rhetsa,Roxb.,,
61958968,Zanthoxylum rhetsa,Zanthoxylum budrunga (Roxb.) DC.,Zanthoxylum,budrunga,(Roxb.) DC.,,
61958968,Zanthoxylum rhetsa,Zanthoxylum limonella (Dennst.) Alston,Zanthoxylum,limonella,(Dennst.) Alston,,
61958968,Zanthoxylum rhetsa,Zanthoxylum parviflorum Benth.,Zanthoxylum,parviflorum,Benth.,,
61988133,Trema orientale,Celtis orientalis L.,Celtis,orientalis,L.,,
61988133,Trema orientale,Sponia orientalis (L.) Decne.,Sponia,orientalis,(L.) Decne.,,
61988133,Trema orientale,Colubrina leschenaultii (DC.) G.Don,Colubrina,leschenaultii,(DC.) G.Don,,
61988133,Trema orientale,Trema orientalis (L.) Blume [orth. error],Trema,orientalis,(L.) Blume [orth. error],,
61989645,Terminalia bellirica,Buceras bellirica (Gaertn.) Lyons,Buceras,bellirica,(Gaertn.) Lyons,,
61989645,Terminalia bellirica,Myrobalanus punctata (Roth) Kuntze,Myrobalanus,punctata,(Roth) Kuntze,,
61989645,Terminalia bellirica,Terminalia attenuata Edgew.,Terminalia,attenuata,Edgew.,,
61989645,Terminalia bellirica,Terminalia belirica Wall.,Terminalia,belirica,Wall.,,
61989645,Terminalia bellirica,Terminalia biticaria Roxb.,Terminalia,biticaria,Roxb.,,
61989645,Terminalia bellirica,Terminalia eglandulosa Roxb. ex C.B.Clarke,Terminalia,eglandulosa,Roxb. ex C.B.Clarke,,
61989645,Terminalia bellirica,Terminalia gella Dalzell,Terminalia,gella,Dalzell,,
61989645,Terminalia bellirica,Terminalia laurinoides Teijsm. & Binn.,Terminalia,laurinoides,Teijsm. & Binn.,,
61989645,Terminalia bellirica,Terminalia moluccana Roxb.,Terminalia,moluccana,Roxb.,,
61989645,Terminalia bellirica,Terminalia punctata Roth,Terminalia,punctata,Roth,,
61989645,Terminalia bellirica,Myrobalanus bellirica Gaertn.,Myrobalanus,bellirica,Gaertn.,,
61989853,Terminalia catappa,Terminalia burmanica King ex Prain,Terminalia,burmanica,King ex Prain,,
61990644,Karrabina benthamiana,Geissois benthamiana F.Muell.,Geissois,benthamiana,F.Muell.,,
62003521,Hevea brasiliensis,Siphonia brasiliensis Willd. ex A.Juss.,Siphonia,brasiliensis,Willd. ex A.Juss.,,
62021950,Cynometra ramiflora,Afzelia australis F.M.Bailey,Afzelia,australis,F.M.Bailey,,
164026,Isolepis cernua,Scirpus savii L.,Scirpus,savii,L.,,
164026,Isolepis cernua,Scirpus cernuus Vahl,Scirpus,cernuus,Vahl,,
164123,Montia fontana,Montia lamprosperma Cham.,Montia,lamprosperma,Cham.,,
63892606,Drosera fimbriata,Sondera fimbriata (DeBuhr) Chrtek & Slavíková,Sondera,fimbriata,(DeBuhr) Chrtek & Slavíková,,
63901574,Drosera graniticola,Sondera graniticola (N.G.Marchant) Chrtek & Slavíková,Sondera,graniticola,(N.G.Marchant) Chrtek & Slavíková,,
63905485,Drosera squamosa,Drosera erythrorhiza Lindl. ssp. squamosa (Benth.) N.G.Marchant & Lowrie,Drosera,erythrorhiza,Lindl.,subspecies,(Benth.) N.G.Marchant & Lowrie
64135499,Citrus garrawayi,Citrus garrawayae F.M.Bailey [orth. error],Citrus,garrawayae,F.M.Bailey [orth. error],,
64135524,Citrus glauca,Triphasia glauca Lindl.,Triphasia,glauca,Lindl.,,
164362,Utricularia gibba,Utricularia exoleta R.Br.,Utricularia,exoleta,R.Br.,,
164362,Utricularia gibba,Utricularia gibba L. ssp. exoleta (R.Br.) P.Taylor,Utricularia,gibba,L.,subspecies,(R.Br.) P.Taylor
164362,Utricularia gibba,Utricularia roxburghii Sprengel,Utricularia,roxburghii,Sprengel,,
164362,Utricularia gibba,Utricularia biflora Roxburgh,Utricularia,biflora,Roxburgh ,,
164362,Utricularia gibba,Utricularia khasiana Joseph & Mani,Utricularia,khasiana,Joseph & Mani ,,
164362,Utricularia gibba,Utricularia exoleta R.Br.,Utricularia,exoleta,R.Br.,,
42023,Cycas canalis,Cycas canalis K.D.Hill subsp. canalis,Cycas,canalis,K.D.Hill,subspecies (plantae),
42023,Cycas canalis,Cycas canalis K.D.Hill subsp. carinata K.D.Hill,Cycas,canalis,K.D.Hill,subspecies (plantae),K.D.Hill
66443088,Drosera monticola,Drosera stolonifera Endl. ssp. monticola Lowrie & N.G.Marchant,Drosera,stolonifera,Endl.,subspecies,Lowrie & N.G.Marchant
66442331,Drosera leucostigma,Drosera nitidula Planch. ssp. leucostigma N.G.Marchant & Lowrie,Drosera,nitidula,Planch.,subspecies,N.G.Marchant & Lowrie
164082,Adiantum capillus-veneris,Adiantum trifidum C.Bolle,Adiantum,trifidum,C.Bolle,,
164082,Adiantum capillus-veneris,Adiantum capillus Sw.,Adiantum,capillus,Sw.,,
164082,Adiantum capillus-veneris,Adiantum marginatum Schrad.,Adiantum,marginatum,Schrad.,,
164082,Adiantum capillus-veneris,Adiantum pseudocapillus Fee,Adiantum,pseudocapillus,Fee,,
164082,Adiantum capillus-veneris,Adiantum coriandrifolium Lam.,Adiantum,coriandrifolium,Lam.,,
164082,Adiantum capillus-veneris,Adiantum fontanum Salisb.,Adiantum,fontanum,Salisb.,,
164082,Adiantum capillus-veneris,Adiantum paradiseae Baker,Adiantum,paradiseae,Baker,,
176904,Bacopa floribunda,Herpestis floribunda R.Br.,Herpestis,floribunda,R.Br.,,
169056,Ludwigia octovalvis,Oenothera octovalvis Jacq.,Oenothera,octovalvis,Jacq.,,
164296,Najas graminea,Caulinia graminea (Delile) Batt.,Caulinia,graminea,(Delile) Batt.,,
164296,Najas graminea,Caulinia alagnensis Pollini,Caulinia,alagnensis,Pollini,,
164296,Najas graminea,Najas alagnensis (Pollini) Pollini,Najas,alagnensis,(Pollini) Pollini,,
34363,Aglaia spectabilis,Aglaia gigantea (Pierre) Pellegrin,Aglaia,gigantea,(Pierre) Pellegrin,,
34363,Aglaia spectabilis,Aglaia hiernii Viswanathan & Ranachandran,Aglaia,hiernii,Viswanathan & Ranachandran,,
34363,Aglaia spectabilis,Aglaia ridleyi (King) Pannell,Aglaia,ridleyi,(King) Pannell,,
34363,Aglaia spectabilis,Aphanamixis wallichii (King) Haridasan & R.R.Rao,Aphanamixis,wallichii,(King) Haridasan & R.R.Rao,,
